,source,target,edge
2629,gleiberman,mother,labelled
2630,they,mother,insist
2631,none,it,adds
2632,paramount metro goldwyn mayer,big  five,came
2633,smaller  studios,simultaneously  majors, 
2634,chucky  tortures,murders table,saw
2635,2018 gabriel bateman,september,set
2636,unexpectedly  it,assassination,ended
2637,nix  films,simultaneous comparison movie,combined into
2638,younger  brother,fight,stops
2639,lions gate entertainment,film.\n,distributed
2640,bush administration,officially  film,commented on
2641,however  incident,bush,disputed by
2642,reportedly  bush,it,liked
2643,nordisk film games,nordic gaming studios,invest in nordic
2644,kogama,registered one users,has
2645,it,christian  rask,created in particular
2646,it,minecraft,is similar
2647,nordisk  film,danish  venue,operate
2648,when  it,2018.\n,hallen
2649,mystery,cartoon network,released by
2650,brian  levant,film,directed
2651,shaggy,side relationship,set
2652,scooby doo,june,released on
2653,mystery,,shows
2654,we,bad  timeslot,had
2655,plot,origin mystery,inc
2656,,,daphne
2657,tohokushinsha film corporation,film distributor film akasaka,is
2658,film grain,such  particles,[
2659,it,photographic film photograph,be
2660,,1000 rallycross rs,car
2661,havana film festival\nmadre,short simón mesa soto,is
2662,byung hun martin sensmeier,denzel  washington,stars denzel
2663,chisholm,corrupt  sheriff,sends
2664,actors,december,cast between
2665,denzel  character,chris adams,renamed from
2666,instead  someone,instead  what,of
2667,he,ladies,loves
2668,he,fire fight,'s deadly
2669,it,washington,is
2670,friend,franglen score score,co
2671,other  locations,st,include
2672,amy nicholson,film,decried
2673,it,two  hardcore,'s
2674,it,hell.\n,'s entertaining
2675,colin farrell,eventually  him,replaced
2676,l. jackson,part,took
2677,elliot goldenthal,soundtrack,composed
2678,reception,movie,was mixed
2679,firefight,2011,came
2680,,2017,came
2681,stephanie sigman,shemar series,star in
2682,lin,pilot.\n,announced
2683,sagayam,him,stopped
2684,it,raghu  smuggler,works for
2685,previously  movie,santa maria,titled as
2686,it,richie,titled as
2687,second ajaneesh tamil,kurangu bommai,is
2688,,kannada language romance r.p,is
2689,film,21  october,released on
2690,it,"$  24,500",made for
2691,splatter directors,mainstream hits,gone
2692,they,metaphor,lacking
2693,manipur  film,matamgi 1972,released in
2694,it,selected feature films,was among
2695,manipur  film,matamgi 1972,released in
2696,it,selected feature films,was among
2697,fargo,joel comedy coen,is
2698,film,united  states,was
2699,payment,"80,000  ransom",be
2700,enraged  carl,gun,pulls
2701,brothers,explanation,modified
2702,actual  murders,minnesota.\n,committed in
2703,i,actually  that,said
2704,i,this,want
2705,jerry,completely  ingenuous,'s
2706,site,corporate  headquarters,occupied by best
2707,motel  truckstop,south st,was
2708,which,still  business,paul
2709,building,medical outpatient treatment center,houses
2710,,now  mahtomedi,closed
2711,fargo,100 film years,ranked 84th
2712,marge gunderson character,100  years,ranked
2713,musical  motif,norwegian folk song,based on
2714,fargo,several  formats,released in several
2715,music,madhavapeddi suresh,composed by
2716,nfpb,nfr,adds to
2717,table,2018 induction list,is through
2718,film,6  january,released on
2719,soundtrack album,five  tracks,consists of
2720,album,17 december 2017.\n,released on
2721,rajkumar santoshi,hindi film films,is
2722,he,next  thrillers,directed
2723,he,producer director,is
2724,he,ensemble andaz apna apna,wrote
2725,lajja,box office india,was
2726,film,national film award,won
2727,raja sen,it,called
2728,it,box office,bombed at
2729,films,period,received
2730,rajkumar santoshi,hindi film films,is
2731,he,next  thrillers,directed
2732,he,producer director,is
2733,he,ensemble andaz apna apna,wrote
2734,lajja,box office india,was
2735,film,national film award,won
2736,raja sen,it,called
2737,it,box office,bombed at
2738,films,period,received
2739,however  characters,narrative  voice,invented
2740,stage plays,frequent film adaptations,are frequent
2741,adaptive  process,one  translation,continue after
2742,feature films,occasionally television series,created from
2743,muppet movie,1979,was
2744,radio series,film dr,include
2745,superman,comic book characters,are
2746,origins,characters,simplified
2747,spider man,2 storyline spider man,based on
2748,some,worst mario films,received
2749,inconvenient  truth,keynote multimedia presentation,is
2750,remakes,original film film,are
2751,many  films,texts,made from
2752,works,several  nations, 
2753,finally  films,plays,inspired
2754,spamalot,monty python films,is
2755,mi,sami,song
2756,,old work action song,mraka
2757,followup,second  compilation,was
2758,band,new punk rock standards,became
2759,motion picture projects,discrete  stages,have
2760,film directors,screenwriters,started as
2761,other film directors,film school,attended
2762,directors,different  approaches,use different
2763,grips,,lighting
2764,also art which,overall art department,called
2765,actors,personal makeup artists,have personal
2766,early  talkies,early  1930s,were
2767,phonorama,also film exposition,presented at
2768,meanwhile  innovations,significant  front,continued on
2769,,,phonofilm
2770,,september,fallen
2771,these,true hollywood studio,were
2772,patents,three  concerns,were cross
2773,these,acclaimed sound motion date,were
2774,natural  sounds,settings,were
2775,,,bros
2776,alfred twenty movie,london  debut,had
2777,,31 trois masques,les
2778,,persian language talkie,produced
2779,pyonsa,role,korea
2780,this,big  issue,left
2781,me  they,salary treatment,gave
2782,so  i,so  hesitation,quit
2783,moviehouse musicians,jobs,lost
2784,sixty hollywood musicals,1929,released in
2785,hollywood,larger  stage,ruled on
2786,this,music,achieved by
2787,hindustani heer ranjha,lahore,produced in
2788,talking  film,little singing book,needed as
2789,such  methods,popular  filmmaking,become standard
2790,when trio year,new trio york,journey to new
2791,kevin,normal  size,turns
2792,music,where heitor noted.\n,composed by
2793,extras,minion jingle bells,include
2794,it,single day gross,holds
2795,elsewhere  poland,new  no,opened
2796,notable  openings,germany,witnessed in
2797,,jesse a.v,hassenger of
2798,title,officially  may,revealed in
2799,it,kirill serebrennikov,directed by
2800,leto,cannes soundtrack award,won
2801,tenaliraman,satirical yuvaraj dhayalan,is
2802,that,time constraints,materialize because
2803,'d  imman,music,composed
2804,singer krishnaraj,also  song,delivered
2805,,16  countries,film
2806,so  catching,him,was
2807,youngster,camphor,was like
2808,he,bright  future,is sharp
2809,final  verdict,behindwoods,was flop.\n
2810,other  destiny,back  stripping,goes
2811,however  cracks,operation,start
2812,other  strippers,strategies,begin
2813,meanwhile  ramona,new  hire,is busy
2814,elizabeth visits who,retail  job,ramona
2815,stx  entertainment,film,distributed
2816,travers,,noted
2817,it,really performance sequence,'s
2818,,online  september,trailer
2819,it,stx day history,was
2820,you,her,seen
2821,it,joint sony pictures television,is
2822,festival,2008,returned in
2823,film,august,released on
2824,pokiri,indian puri jagannadh,is
2825,soundtrack  score,mani  sharma,composed by
2826,film,four nandi awards,won
2827,,,visits
2828,,meanwhile  143,jagannadh
2829,prakash  raj,primary  antagonists,cast as
2830,hindu,out action flick,wrote
2831,initially  i,seven month break,wanted
2832,film,telugu,was
2833,pokiri,several  films,parodied by several
2834,pokiri,indian puri jagannadh,is
2835,soundtrack  score,mani  sharma,composed by
2836,film,four nandi awards,won
2837,,,visits
2838,,meanwhile  143,jagannadh
2839,prakash  raj,primary  antagonists,cast as
2840,hindu,out action flick,wrote
2841,initially  i,seven month break,wanted
2842,film,telugu,was
2843,pokiri,several  films,parodied by several
2844,space odyssey,epic stanley kubrick,is
2845,audio  signal,monolith,strikes
2846,one,jupiter,bound for
2847,hibernating  crew,this,hal
2848,vincent  universe,vincent  lobrutto,was
2849,trumbull,special effects 2001,became
2850,clarke,novel,wrote
2851,script,many  stages,went through many
2852,colour processing,35\xa0 dye transfer process,done
2853,plans,rediscovered  footage,announced for
2854,set,feet  diameter,was
2855,it,heightened heart rate,built
2856,i,him,[
2857,expansive  backdrops,african  screen,required
2858,kubrick,them,called
2859,boston review,it,called
2860,he,point,fear
2861,he,monster,compared to
2862,it,jump,'s
2863,space odyssey,most  films,regarded as
2864,i,script,loved
2865,recently  filmmakers,increasingly  video,used
2866,nikkatsu,roman porno line,responded by
2867,bed partner,roman porno series,was
2868,films,pink  audience,considered difficult
2869,they,shinji yoshitaka enomoto,are
2870,19851987tabloid magazine you,19851987tabloid magazine girl,award for
2871,awards,least  1994,continued to
2872,it,extended  universe,is
2873,sivana deduces,news,find
2874,sivana,foster siblings hostage,calls
2875,siblings,heroes,billy
2876,safran,mrs,cast as
2877,,,sandberg
2878,who,him,sivana
2879,voices,collectively actors steve blum,provided by
2880,new line cinema,warner bros,absorbed into
2881,film,2013  shazam,stated
2882,month coordinator kyle gardiner,action sequences,hired
2883,mark  strong,final  dr,was in final
2884,critical consensus reads,entertaining  humor,shazam
2885,superhero that,real  power,is
2886,nick allen,rogerebert.com,said
2887,film,esther amira bois,stars
2888,it,1983,is
2889,they,romantic  days,spend
2890,screenplay,late  2015,completed in late
2891,ivory,,altered
2892,character,three  languages,is fluent
2893,michael who,father,stuhlbarg
2894,outdoor  scenes,december,shot on
2895,train station scenes,pizzighettone,filmed at
2896,i,intimately  director,involved with
2897,first  cut,film,ran
2898,sony pictures classics,u.s,acquired
2899,deal,independent film group,negotiated by
2900,it,thirty  ',expanded from
2901,film,grossing pictures 2017,was sony
2902,it,hesitation,gets over
2903,when  oliver,novel,reunite
2904,,world  november,released on
2905,third  sequel,development,is in
2906,,new thor mexico,lands in new
2907,erik selvig,him,find
2908,adriana barraza,owner isabella alvarez,plays
2909,maximiliano hernández,s.h.i.e.l.d,plays
2910,i,job,got
2911,,first manhattan beach,avenger
2912,principal  photography,january,began on
2913,i,exciting  film,think
2914,later  footage,internet,leaked on
2915,promotional  partners,burger king,dr
2916,that,rehearsal,was
2917,it,grossing  2011,was
2918,third  sequel,november,is due
2919,hadewijch,french bruno dumont,is
2920,fanatic novice christian,winter rain,is
2921,she,parisian  diplomat,becomes
2922,hammer film productions,british film production london,is
2923,musical  personnel,malcolm john robertson,included malcolm
2924,someone,fact,been sick
2925,audrey field,10  october,reported on
2926,christopher lee,brutish  creature,cast as
2927,first  five,direct  original,were direct
2928,i,,think of
2929,i,point.\n,see
2930,stories,contemporary  england,set in contemporary
2931,kane,intensive  care,[
2932,creature,grenade,set ablaze
2933,alex  garland,film,hired
2934,test shooting,already  st,done in
2935,adventure films,stock characters,contain
2936,carol,todd melodrama haynes,is
2937,,,blanchett
2938,therese,argument,witnesses
2939,two  argue,end,comes to
2940,therese,carol,hesitates
2941,you,always  role,needed
2942,proper  drafts,years,materialized
2943,haynes,screenplay,collaborated on
2944,berwin,executive  film,remained
2945,they,then  haynes,decided
2946,weinstein  company,u.s,acquired
2947,she,different head space,was in
2948,he,almost  it,'s
2949,intermediate  process,spoiled  palette,used
2950,this,experience,filmmaking
2951,it,edward hopper painting,seem like
2952,carol,180  theaters,expanded to
2953,carol,85 critic awards,received
2954,new film critics circle,best  film,awarded
2955,lachman,technical achievement award,won
2956,film,soundtrack memory,dedicated to
2957,friend jon jon,him,goes
2958,she,then  911,cries for
2959,he,janitorial  job,offers
2960,they,situation,'re
2961,fight commences,upper  hand,takes
2962,billy  maureen,her,says
2963,metro goldwyn mayer,film,picked
2964,principal  photography,june,began on
2965,it,originally  detroit,was
2966,it,entirely power chords,'s
2967,film,toronto,produced in
2968,it,first ass film series,is
2969,longtime katie,longtime crush,attempts
2970,frank mafia he,frank mafia d'amico,jailed
2971,son,different  approach,suggests
2972,following  dave,kick ass,decides
2973,she,him,forgives
2974,kick  ass,frank hit mist,take
2975,they,other,knock
2976,then  they,face,edited
2977,then  producer,first tarquin name,changed
2978,why  you,that,do
2979,i,him,know
2980,he,idea,pitched
2981,he,then  synopsis,wrote
2982,critic claudia puig,,praised
2983,avé,bulgarian konstantin bojanov,is
2984,most,ultraviolet  light,are
2985,color film,sensitive  layers,has
2986,eastman,film,became
2987,first picture film stock,1889,offered in
2988,,photographic  film,was
2989,separate cine type films,1916,offered
2990,number,film gauges,made
2991,filmmaking,slowly  period,developed during
2992,film stock manufacturers,products,began
2993,manufacturer,negative stock,offered
2994,first  films,light,darkened by
2995,new  rating,stock itself\xa0,is
2996,acetate  stock,also  deterioration, 
2997,release prints,then  dn,generated from
2998,film stars,tom chacko,mammootty
2999,they,senior  officer,briefed by
3000,day night day team,light  maoists,encounters with
3001,so  reports,that,came
3002,thus  it,details,was
3003,ary,him,replaced
3004,particular  style,script,used
3005,unda  storyline,heroine,require
3006,ho  liao,officially  cast,added to
3007,it,3  weeks,took
3008,soundtrack album,three  tracks,consists of
3009,police,deal,seals
3010,graham,story,runs
3011,nixon  post,white  house,demands
3012,that,impeccably  film,'s
3013,it,good  movie,'s
3014,you,way fake.\n,want
3015,star wars star,epic george lucas,is
3016,obi  wan,old  weapon,presents luke
3017,lawson  hagon,rebel pilots wedge antilles,played rebel
3018,alex mccrindle,general jan dodonna,portrays general
3019,,evazan captain raymus antilles,portrays
3020,disney,also  film,turned
3021,we,westerns,had
3022,now  they,six million dollar man,have
3023,force,mystical energy field,introduced as
3024,it,poem,'s like
3025,,hal matthew,after
3026,george,that,going
3027,millennium falcon set,christian,was
3028,lot,actors,mind
3029,they,8\xa0million,approved
3030,hirsch,two  reels,worked on
3031,film,result,was
3032,industrial  light,special  effects,struggling
3033,star wars,heavily kurosawa film,borrows
3034,b  poster,cinema billboards,used in
3035,gary  kurtz,film,turned to
3036,charles lippincott,star wars,was
3037,it,theatrical video releases,see many
3038,film,,ordered
3039,version,film,runs
3040,gross,prior  expansion,was
3041,soundtrack,recording  registry,added to
3042,half million half copies,february,sold
3043,script,e. jack kaplan,adapted by
3044,epic  films,large  scale,are
3045,similarly  films,historical  character,take
3046,biographical  films,lavish  genre,be
3047,titanic,epic james cameron,is
3048,,cal,rose
3049,dies,hypothermia,saved
3050,i,shipwreck,wanted
3051,it,that,'s
3052,lifeboats,ten  percent,shrunken by
3053,15 boarding scenes,november,shot
3054,cameron,them,stated
3055,other  times,set,were
3056,when  i,genuinely  him,were
3057,,it,damn
3058,one  eye,completely terminator eye,was
3059,person,poisoning,was
3060,filming  schedule,138  160,intended
3061,you,me,going
3062,you,me,want
3063,you,me,going
3064,cameron,share,\xa0
3065,films,initial  budget,went
3066,i,it,took
3067,other  scenes,similar  reasons,cut for similar
3068,ei,,borg
3069,this,positive media coverage,led to more
3070,impact,men,credited
3071,it,elements,'s
3072,i,world,'m
3073,repeat rate,titanic,was
3074,ticket prices,late  1990s,were
3075,good  movies,few  years,come
3076,it,best  1997,named
3077,emotionally  aspects,film,praised
3078,he,it,see
3079,winslet gloria stuart,,were
3080,homes,dvd player,had
3081,titanic 3d version,$ 4k restoration, 
3082,fowler,2016,hired
3083,frank c. turner,crazy  carl,appears as crazy
3084,however  most,production team,remained unchanged
3085,2018  tika,june,cast
3086,jim carrey,villain,cast
3087,howard  luk,cast,joined
3088,visual  effects,industrial  light,provided by industrial
3089,film poster,film,is
3090,thriving film some,thriving film posters,become
3091,title card,movie title,displays
3092,bathory,juraj drama horror jakubisko,is
3093,witch,erzsebet,promises
3094,afterward  erzsebet,surreal  visions,begins
3095,film,essentially  genres,is
3096,first  appearance,6  march,planned for
3097,movie,kannada vivek oberoi,was
3098,vivek  oberoi,voice,lent
3099,this,hotel catering,include rental
3100,each,physically  borders,have
3101,this,commonly factoring paper, 
3102,elements,marketplace analytics,include
3103,crowdfunded  films,iron sky,include
3104,poor performance records,public court documents,showing
3105,last  call,greg comedy garthe,is
3106,,winkle film hansen,stars travis
3107,plot,heavily  bestseller,inspired by
3108,he,process,attacked in
3109,film,2  june,released on
3110,where  mother,teacher,school
3111,he,international  school,attended
3112,guy,utmost  sincerity,looks
3113,acting  capabilities,lot,leave
3114,last  release,year,was
3115,,,rai
3116,he,emotional  scenes,is subtle
3117,film,critical  acclaim,earned critical
3118,film,entirely  switzerland,shot in
3119,film,average box office,managed
3120,he,deep  baritone,has
3121,last  release,rai ek zorabian,was
3122,he,vipasha  agarwal,played
3123,movie,entirely  london,shot
3124,this,wider  rampal,brought wider
3125,he,stealing  performance,gave
3126,taran  adarsh,performance,praised
3127,he,untamed  lion,'s like
3128,he,emotional  moments,handles
3129,majority,fans,considered
3130,,arthur  rediff.com,pais of
3131,body language,menacing brooding villain,creates
3132,aseem chhabra,interesting  film,considered rampal
3133,first  release,2013,was sudhir
3134,next  film,starring rishi khan,qureshi
3135,he,rudra pratap singh,portrayed
3136,rummana,yahoo,ahmed of
3137,last  release,year,was prakash
3138,it,successful bollywood time,was
3139,nineteen  shows,globe,occurred across
3140,it,shah rukh khan,set by
3141,,music culture,is
3142,where  mother,teacher,school
3143,he,international  school,attended
3144,guy,utmost  sincerity,looks
3145,acting  capabilities,lot,leave
3146,last  release,year,was
3147,,,rai
3148,he,emotional  scenes,is subtle
3149,film,critical  acclaim,earned critical
3150,film,entirely  switzerland,shot in
3151,film,average box office,managed
3152,he,deep  baritone,has
3153,last  release,rai ek zorabian,was
3154,he,vipasha  agarwal,played
3155,movie,entirely  london,shot
3156,this,wider  rampal,brought wider
3157,he,stealing  performance,gave
3158,taran  adarsh,performance,praised
3159,he,untamed  lion,'s like
3160,he,emotional  moments,handles
3161,majority,fans,considered
3162,,arthur  rediff.com,pais of
3163,body language,menacing brooding villain,creates
3164,aseem chhabra,interesting  film,considered rampal
3165,first  release,2013,was sudhir
3166,next  film,starring rishi khan,qureshi
3167,he,rudra pratap singh,portrayed
3168,rummana,yahoo,ahmed of
3169,last  release,year,was prakash
3170,it,successful bollywood time,was
3171,nineteen  shows,globe,occurred across
3172,it,shah rukh khan,set by
3173,,music culture,is
3174,härmä,finnish jp siili,is
3175,it,,stars
3176,common fantasy subgenres,movies,are high
3177,high fantasy films,developed fantasy world,tend
3178,many  scholars,j.,cite
3179,other  notables,genre,were
3180,griffith,satan,'s
3181,animated film alice,wonderland,is
3182,otherwise  1960s,entirely fantasy films,were
3183,once  musical,once  which,classic
3184,some,1977,consider
3185,highlander,scottish  swordsmen,released
3186,general,again  surrender,demands
3187,furious  xerxes,troops,orders
3188,greeks,sacrifice,mobilize
3189,certain  sequences,different  moods,desaturated
3190,art production blog,initial  site,were
3191,collision studios,warner bros,worked with
3192,tnt,five year deal,agreed to
3193,film,"$  456,068,181",grossed
3194,critics,still  film,divided on
3195,,full consensus blood,reads
3196,classical  sources,wrong  places,used
3197,they,biggest slave greece,were
3198,iranian  officials,film,condemned
3199,voice cast,john cena,includes
3200,2017  collett,december,harry
3201,voice,,tour
3202,stack,thin  films,called
3203,everyday  example,frost,is
3204,molecular beam epitaxy,thermal  evaporation,is
3205,it,optical  media,used in optical
3206,nitrogen  gases,,used in sputtering
3207,,thin film deposition,is
3208,,adsorbate growth interactions,are balanced
3209,gold  that,ancient  india,leafs
3210,layers,reflective  systems,serve in
3211,flexible  batteries,plastic,made by
3212,film,cameras,is
3213,many 3d films,imax  format,shown in
3214,maggie awakens,basement,trapped in
3215,ann irons paints,face,shut
3216,taylor,.mw parser output,0;padding:0
3217,ma,may,released on
3218,first  trailer,february,released on
3219,,action thriller luc besson,is
3220,,,nikita
3221,that,it,ruin
3222,film,personal  issues.\n,says
3223,more  scripts,hensleigh john turman,written by hensleigh
3224,general  ross,david banner,suspects
3225,electricity hits,own  transformation,bruce
3226,turman,more  drafts,brought
3227,zak  penn,then  it,rewrote
3228,$ 20 million,already script development,spent on
3229,france,final  credit,received final
3230,supervisor dennis muren,set,was on
3231,sound design,skywalker sound,completed at
3232,other  software,xsi,included
3233,danna,original  film,was
3234,roger ebert,positive  review,gave
3235,special effects crew,special  effects,nominated for best
3236,family film,slovenian drama adventure omerzu,is
3237,film,prague,shot in
3238,family film,czech film awards,won
3239,score,harris jayaraj,composed by
3240,film,vikram krishna,produced by
3241,,other shoots sathyam,thillanayagam
3242,last  nayantara,female  lead,selected
3243,lyrics,pa,penned by
3244,sathyam,more  crown,is
3245,film,átila iório,stars
3246,it,1964 cannes film festival.\n,entered into
3247,kabaddi,romantic ram babu gurung,is
3248,film,gurung dayahang khatiwada,produced by
3249,california film institute,san rafael,is
3250,founder,current  cfi,is
3251,film center,"200,000  attendees",serves
3252,on  mira,raghuram him,serves
3253,lobo,then  money,fails at
3254,finally  characters,multiple  kali,revealed
3255,she,multiple personality disorder,suffering from multiple
3256,first  look,november,released on
3257,2012  filming,october,completed
3258,conversion,question,was out
3259,viy,two  storylines,is
3260,one,nikolai horror story,is
3261,immortal  story,cuts,screened without
3262,french  who,ukrainian  territories,traveler
3263,de beauplan,main  character,was
3264,it,1693,built in
3265,locals,story,take
3266,carriage,"$  75,000",cost
3267,second  carriage,interior  scenes,constructed
3268,she,200  costumes,made
3269,flemyng,soon  director,approved by
3270,stunts,irzi kuba,choreographed by
3271,make artist petr who,vysotskiy,gorshenin
3272,film,real  3d,shot in real
3273,proprietary  technology,3d effects,called
3274,reception,film,was mixed
3275,xavier escape caliban,tracking  laura,logan
3276,,logan  body,escape with
3277,logan,xavier,passes
3278,elizabeth  rodriguez,munson,elise neal
3279,kallaway alison fernandez,maria,appear as
3280,i,really  wolverine,'m
3281,'s,that,let
3282,i,references,used
3283,music,marco beltrami.\n,composed by
3284,57:31\nall music,marco beltrami.\n,composed by
3285,teaser,positive  reviews,met with positive
3286,it,very  yourself,'s
3287,hugh jackman,human  beings,is
3288,i,genuinely  guy,love
3289,it,right  time,feels like
3290,you,me,need
3291,it,381 imax theaters,is
3292,logan,$ 105 million,projected
3293,top  openings,china,were in
3294,film,last vita film 1925,released in
3295,group,soon visitor center,proceed
3296,characterizations,novel,changed from
3297,two  scenes,book,excised
3298,parts,film sequels,included in
3299,jim carrey,also  role,auditioned for
3300,robin wright,role,turned
3301,christina ricci,also  role,auditioned for
3302,crew,warner bros,moved to
3303,jurassic  park,finally  may,completed on
3304,john neufeld,alexander  orchestrations,provided
3305,later  it,"2,404 theater locations",opened
3306,jurassic  park,up  time,became
3307,it,also  elckerlijc,known as
3308,hard  disk,capable  movie,is
3309,individual  who,',preservationists
3310,,established graduate field,programs in
3311,,multiple bar applicators,are multiple
3312,film applicators,astm standard,follow
3313,automatic film applicators,construction,vary in
3314,drawdown process,astm standard,governed by
3315,this,common film applicator,is
3316,square  applicator,,is
3317,film,average box office,was
3318,music,r.,composed by
3319,songs,sirivennela seetharama sastry,penned by
3320,music,aditya music company.\n,released by
3321,it,intellect ltd,published by
3322,editor,chief,is
3323,film critics association,american film critic 1975,is
3324,popular cinema chains,capitol cinema,include
3325,film industry,major  nigeria,became
3326,it,us,is
3327,popular cinema chains,capitol cinema,include
3328,film industry,major  nigeria,became
3329,it,us,is
3330,this,white blood cell differential,known as
3331,it,projected  film,apply to
3332,primary  characteristic,film format,is
3333,film format,exactly  size,be
3334,sortable  table,corresponding  numbers,shows
3335,it,1984 cannes film festival.\n,entered into
3336,film,1994 cannes film festival.\n,entered into
3337,however  films,760  millimetres,be
3338,120  film,several frame sizes,allows several
3339,number,naming  cameras,used in
3340,mostly kodak it,mostly kodak cameras, 
3341,bodied voigtländer perkeo,620 format camera.\n,remains smaller
3342,iranian  films,persian  language,written
3343,iranian  cinema,many  ups,had many
3344,visual  arts,sassanian  reign,said
3345,popular  form,such  art,was
3346,film theatre film studios,public,destroyed by
3347,other cinema theatres,tehran,closed
3348,local feature film production,persistence,born
3349,masoud kimiai,kaiser,made
3350,,mature  stage,entered into
3351,100  features,1979,released
3352,farabi cinema foundation,disorganized  cinema,stepped
3353,year  government,financial  aid,began
3354,iranian box office,iranian  films,dominated by commercial
3355,western  films,occasionally movie theaters, 
3356,contemporary hollywood productions,state television,shown on
3357,renowned  directors,iranian war cinema,involved in
3358,international animation festival,february,held in february
3359,fereydoun hoveyda,them,was
3360,,,béguines
3361,international film festival,april,opened in
3362,it,very  onset,intended
3363,festival,film  competitions,features international
3364,2006 akira kurosawa,2006  event,honored
3365,it,fourth  year,entering
3366,seminal film,new  wave,considered
3367,here  censorship,bani etemad,lady by
3368,important  panahi,important  film,says
3369,iranian  artists,release,demanded
3370,they,dvds  screenings,are
3371,we,separate  lives,lead
3372,i,it,refuse
3373,iranian  films,persian  language,written
3374,iranian  cinema,many  ups,had many
3375,visual  arts,sassanian  reign,said
3376,popular  form,such  art,was
3377,film theatre film studios,public,destroyed by
3378,other cinema theatres,tehran,closed
3379,local feature film production,persistence,born
3380,masoud kimiai,kaiser,made
3381,,mature  stage,entered into
3382,100  features,1979,released
3383,farabi cinema foundation,disorganized  cinema,stepped
3384,year  government,financial  aid,began
3385,iranian box office,iranian  films,dominated by commercial
3386,western  films,occasionally movie theaters, 
3387,contemporary hollywood productions,state television,shown on
3388,renowned  directors,iranian war cinema,involved in
3389,international animation festival,february,held in february
3390,fereydoun hoveyda,them,was
3391,,,béguines
3392,international film festival,april,opened in
3393,it,very  onset,intended
3394,festival,film  competitions,features international
3395,2006 akira kurosawa,2006  event,honored
3396,it,fourth  year,entering
3397,seminal film,new  wave,considered
3398,here  censorship,bani etemad,lady by
3399,important  panahi,important  film,says
3400,iranian  artists,release,demanded
3401,they,dvds  screenings,are
3402,we,separate  lives,lead
3403,i,it,refuse
3404,battle royale,last  fukasaku,was
3405,battle royale,popular  culture,became
3406,noriko  nakagawa,regularly  class,is
3407,shuya,uzi,wounded by
3408,he,oki,tatsumichi
3409,it,¥ 3.11 billion,went
3410,9 day run,popular  demand,extended
3411,son,kenta  conversion,oversaw
3412,dvd version,"5,000  copies",limited to
3413,seriously  you,seriously  what,do
3414,reporter,hubbub,noted
3415,new  line,yet remake rights,purchased
3416,battle royale phenomenon,especially  2010s,become
3417,,such television lost,shows such
3418,examples,fate stay night irae,include
3419,surya,haranath bengali action chakraborty,is
3420,film,telugu film aadi,was
3421,film,box office.\n,was
3422,award ceremony,london,held in
3423,chased,short louis taylor,is
3424,also  directors,youtube,cut
3425,this,dominated  state,mean
3426,ultimately  it,cinemas,shown at
3427,,,craven
3428,impact,genre,considered prolific
3429,he,strict baptist family,raised in
3430,he,chapin method,taught
3431,you,it,talk
3432,you,beat,lose
3433,jessica,singer group,was
3434,marriage,1970,ended in
3435,i,time,was
3436,i,dearly  him,loved
3437,,,craven
3438,impact,genre,considered prolific
3439,he,strict baptist family,raised in
3440,he,chapin method,taught
3441,you,it,talk
3442,you,beat,lose
3443,jessica,singer group,was
3444,marriage,1970,ended in
3445,i,time,was
3446,i,dearly  him,loved
3447,he,unarmed  combat,is
3448,he,bond,created
3449,then  one,him,help
3450,he,credible  character,is overweight
3451,connery,peter role,turned
3452,bond,definitely  seventies,set for
3453,so  you,humour,have
3454,viewers,dalton,taken with
3455,jay scott,globe,was
3456,clad  craig,royal navy speedboat,arrived via
3457,daniel craig,bbc,agreed
3458,specifically  he,ian  fleming,is
3459,craig,really  007,is
3460,he,also  st,lived in
3461,he,still  bullying,was
3462,he,drama centre london,went
3463,j. l. carr,country, 
3464,he,similar  roles,was
3465,it,time,seem
3466,film,favorable  reviews,received
3467,it,"$  414,211,549",went
3468,film,excellent  reviews,gathered
3469,deborah young,hollywood reporter,thought
3470,firth,reginald reggie,play
3471,shooting,september,began in
3472,filming,april,began in
3473,film,2007 london film festival,selected to
3474,they,two  sons,have
3475,family,chiswick  italy,live in
3476,he,also  st,lived in
3477,he,still  bullying,was
3478,he,drama centre london,went
3479,j. l. carr,country, 
3480,he,similar  roles,was
3481,it,time,seem
3482,film,favorable  reviews,received
3483,it,"$  414,211,549",went
3484,film,excellent  reviews,gathered
3485,deborah young,hollywood reporter,thought
3486,firth,reginald reggie,play
3487,shooting,september,began in
3488,filming,april,began in
3489,film,2007 london film festival,selected to
3490,they,two  sons,have
3491,family,chiswick  italy,live in
3492,film,march,scheduled
3493,trailer,also toy story,shown with
3494,inversion,iranian behnam behzadi,is
3495,educational  films,classification,are exempt
3496,china,rating system,have
3497,it,new over law,was
3498,,,children
3499,they,adult,accompanied by
3500,i,,are unrestricted
3501,iii,restricted  government,is
3502,r rating,since  nc16,replaced by
3503,rating,2011,is
3504,distributors,legally age ratings, 
3505,unrated  film,informally  newspapers,denoted by
3506,age ratings,several  categories,divided into several
3507,educational  films,classification,are exempt
3508,china,rating system,have
3509,it,new over law,was
3510,,,children
3511,they,adult,accompanied by
3512,i,,are unrestricted
3513,iii,restricted  government,is
3514,r rating,since  nc16,replaced by
3515,rating,2011,is
3516,distributors,legally age ratings, 
